"Time","GDP - % Change from Preceding Period in Real GDP USA Gross domestic product  - 
  - [Percent] Seasonally adjusted at annual rates"
"20182",4.2
"20181",2.2
"20174",2.3
"20173",2.8
"20172",3.0
"20171",1.8
"20164",1.8
"20163",1.9
"20162",2.3
"20161",1.5
"20154",0.4
"20153",1.0
"20152",3.3
"20151",3.3
"20144",1.9
"20143",4.9
"20142",5.1
"20141",-1.0
"20134",3.2
"20133",3.2
"20132",0.5
"20131",3.6
"20124",0.5
"20123",0.5
"20122",1.7
"20121",3.2
"20114",4.7
"20113",-0.1
"20112",2.9
"20111",-1.0
"20104",2.0
"20103",3.0
"20102",3.7
"20101",1.5
"20094",4.5
"20093",1.5
"20092",-0.6
"20091",-4.4
"20084",-8.4
"20083",-2.1
"20082",2.1
"20081",-2.3
"20074",2.5
"20073",2.2
"20072",2.3
"20071",0.9
"20064",3.5
"20063",0.6
"20062",0.9
"20061",5.4
"20054",2.6
"20053",3.6
"20052",1.9
"20051",4.5
"20044",4.1
"20043",3.8
"20042",3.1
"20041",2.2
"20034",4.7
"20033",7.0
"20032",3.5
"20031",2.2
"20024",0.6
"20023",1.8
"20022",2.4
"20021",3.5
"20014",1.1
"20013",-1.7
"20012",2.4
"20011",-1.1
"20004",2.5
"20003",0.5
"20002",7.5
"20001",1.5
"19994",7.0
"19993",5.3
"19992",3.1
"19991",3.8
"19984",6.6
"19983",5.1
"19982",3.8
"19981",4.1
"19974",3.5
"19973",5.1
"19972",6.8
"19971",2.6
"19964",4.2
"19963",3.6
"19962",6.8
"19961",3.0
"19954",2.7
"19953",3.5
"19952",1.2
"19951",1.4
"19944",4.7
"19943",2.4
"19942",5.5
"19941",3.9
"19934",5.6
"19933",1.9
"19932",2.3
"19931",0.7
"19924",4.2
"19923",4.0
"19922",4.4
"19921",4.9
"19914",1.4
"19913",2.0
"19912",3.2
"19911",-1.9
"19904",-3.6
"19903",0.3
"19902",1.5
"19901",4.4
"19894",0.8
"19893",3.0
"19892",3.1
"19891",4.1
"19884",5.4
"19883",2.4
"19882",5.4
"19881",2.1
"19874",7.0
"19873",3.5
"19872",4.4
"19871",3.0
"19864",2.2
"19863",3.9
"19862",1.8
"19861",3.8
"19854",3.0
"19853",6.2
"19852",3.6
"19851",3.9
"19844",3.3
"19843",3.9
"19842",7.1
"19841",8.1
"19834",8.6
"19833",8.2
"19832",9.4
"19831",5.4
"19824",0.2
"19823",-1.5
"19822",1.8
"19821",-6.1
"19814",-4.3
"19813",4.9
"19812",-2.9
"19811",8.1
"19804",7.7
"19803",-0.5
"19802",-8.0
"19801",1.3
"19794",1.0
"19793",3.0
"19792",0.4
"19791",0.7
"19784",5.5
"19783",4.1
"19782",16.4
"19781",1.3
"19774",0.0
"19773",7.4
"19772",8.0
"19771",4.8
"19764",2.9
"19763",2.2
"19762",3.0
"19761",9.3
"19754",5.5
"19753",7.0
"19752",2.9
"19751",-4.8
"19744",-1.5
"19743",-3.7
"19742",1.0
"19741",-3.4
"19734",3.8
"19733",-2.1
"19732",4.4
"19731",10.3
"19724",6.9
"19723",3.8
"19722",9.4
"19721",7.6
"19714",0.9
"19713",3.3
"19712",2.2
"19711",11.3
"19704",-4.2
"19703",3.7
"19702",0.6
"19701",-0.6
"19694",-1.9
"19693",2.7
"19692",1.2
"19691",6.4
"19684",1.6
"19683",3.1
"19682",6.9
"19681",8.4
"19674",3.0
"19673",3.8
"19672",0.2
"19671",3.6
"19664",3.3
"19663",3.4
"19662",1.4
"19661",10.1
"19654",9.5
"19653",9.2
"19652",5.1
"19651",10.0
"19644",1.2
"19643",6.4
"19642",4.4
"19641",8.7
"19634",2.6
"19633",9.1
"19632",4.6
"19631",4.4
"19624",1.3
"19623",5.0
"19622",3.7
"19621",7.3
"19614",8.1
"19613",7.9
"19612",7.0
"19611",2.7
"19604",-5.0
"19603",2.0
"19602",-2.1
"19601",9.3
"19594",1.1
"19593",0.3
"19592",9.3
"19591",7.9
"19584",9.7
"19583",9.6
"19582",2.7
"19581",-10.0
"19574",-4.1
"19573",4.0
"19572",-0.9
"19571",2.6
"19564",6.7
"19563",-0.4
"19562",3.3
"19561",-1.5
"19554",2.4
"19553",5.5
"19552",6.7
"19551",11.9
"19544",8.1
"19543",4.6
"19542",0.4
"19541",-1.9
"19534",-5.9
"19533",-2.2
"19532",3.1
"19531",7.6
"19524",13.8
"19523",2.9
"19522",0.9
"19521",4.3
"19514",0.9
"19513",8.5
"19512",7.1
"19511",5.5
"19504",7.9
"19503",16.4
"19502",12.8
"19501",16.7
"19494",-3.3
"19493",4.2
"19492",-1.4
"19491",-5.4
"19484",0.4
"19483",2.3
"19482",6.8
"19481",6.2
"19474",6.4
"19473",-0.8
"19472",-1.0
